group,n,weight,value,item
00Uncorrelated,50,130802,180893,31
00Uncorrelated,100,240589,360024,59
00Uncorrelated,200,506122,788146,118
00Uncorrelated,500,1265649,1884684,291
00Uncorrelated,1000,2495265,3302226,572
00Uncorrelated,2000,4937338,6267071,1112
01WeaklyCorrelated,50,131741,147110,23
01WeaklyCorrelated,100,247730,269945,51
01WeaklyCorrelated,200,491613,544401,104
01WeaklyCorrelated,500,1269670,1373491,268
01WeaklyCorrelated,1000,2512490,2638240,491
01WeaklyCorrelated,2000,4859741,5082111,993
02StronglyCorrelated,50,116210,151210,35
02StronglyCorrelated,100,237224,306224,69
02StronglyCorrelated,200,475203,610203,135
02StronglyCorrelated,500,1224235,1544235,320
02StronglyCorrelated,1000,2490333,3093333,603
02StronglyCorrelated,2000,4961023,6112023,1151
03InverseStronglyCorrelated,50,164652,147652,17
03InverseStronglyCorrelated,100,299538,265538,34
03InverseStronglyCorrelated,200,613406,546406,67
03InverseStronglyCorrelated,500,1499578,1319578,180
03InverseStronglyCorrelated,1000,2880019,2484019,396
03InverseStronglyCorrelated,2000,6025588,5172588,853
04AlmostStronglyCorrelated,50,123281,157366,34
04AlmostStronglyCorrelated,100,243984,312820,69
04AlmostStronglyCorrelated,200,502901,639175,136
04AlmostStronglyCorrelated,500,1232172,1549456,317
04AlmostStronglyCorrelated,1000,2410252,3014146,604
04AlmostStronglyCorrelated,2000,4925607,6072938,1147
05SubsetSum,50,108240,108240,23
05SubsetSum,100,233898,233898,43
05SubsetSum,200,502063,502063,93
05SubsetSum,500,1209964,1209964,243
05SubsetSum,1000,2418676,2418676,492
05SubsetSum,2000,5004504,5004504,984
06UncorrelatedWithSimilarWeights,50,2401329,17809,24
06UncorrelatedWithSimilarWeights,100,4902393,35897,49
06UncorrelatedWithSimilarWeights,200,9905000,71470,99
06UncorrelatedWithSimilarWeights,500,24712081,165085,247
06UncorrelatedWithSimilarWeights,1000,49524451,314679,495
06UncorrelatedWithSimilarWeights,2000,99048162,576729,990
07SpannerUncorrelated,50,62949,97860,33
07SpannerUncorrelated,100,117042,236570,71
07SpannerUncorrelated,200,10098,619806,143
07SpannerUncorrelated,500,433152,1137240,285
07SpannerUncorrelated,1000,1910224,808336,443
07SpannerUncorrelated,2000,2698731,2038047,1192
08SpannerWeaklyCorrelated,50,82271,206954,26
08SpannerWeaklyCorrelated,100,99892,376154,75
08SpannerWeaklyCorrelated,200,202283,570781,116
08SpannerWeaklyCorrelated,500,791275,1896310,277
08SpannerWeaklyCorrelated,1000,1046820,2658972,520
08SpannerWeaklyCorrelated,2000,822544,4805064,1026
09SpannerStronglyCorrelated,50,89319,260319,29
09SpannerStronglyCorrelated,100,101204,400204,60
09SpannerStronglyCorrelated,200,394135,964135,107
09SpannerStronglyCorrelated,500,587356,1980356,261
09SpannerStronglyCorrelated,1000,1059205,4328205,601
09SpannerStronglyCorrelated,2000,1260734,7750734,1151
10MultipleStronglyCorrelated,50,120766,195766,34
10MultipleStronglyCorrelated,100,243699,400699,70
10MultipleStronglyCorrelated,200,477517,773517,134
10MultipleStronglyCorrelated,500,1200366,1890366,313
10MultipleStronglyCorrelated,1000,2502591,3848591,609
10MultipleStronglyCorrelated,2000,4878102,7397102,1144
11ProfitCeiling,50,116586,116565,22
11ProfitCeiling,100,243435,243399,45
11ProfitCeiling,200,497719,497634,90
11ProfitCeiling,500,1249679,1249479,226
11ProfitCeiling,1000,2394000,2393613,451
11ProfitCeiling,2000,4936244,4935462,922
12Circle,50,129609,8640160,22
12Circle,100,254769,16983730,47
12Circle,200,513049,34201513,87
12Circle,500,1230885,82054788,225
12Circle,1000,2443749,162908220,457
12Circle,2000,4770600,318023626,943
