group,n,weight,value,item
00Uncorrelated,50,128449,178965,31
00Uncorrelated,100,240384,353461,60
00Uncorrelated,200,506371,715423,114
00Uncorrelated,500,1263086,1742890,286
00Uncorrelated,1000,2494684,3081184,554
00Uncorrelated,2000,4937715,5875698,1072
01WeaklyCorrelated,50,132020,146531,25
01WeaklyCorrelated,100,247744,268099,51
01WeaklyCorrelated,200,491385,526320,101
01WeaklyCorrelated,500,1269209,1348496,257
01WeaklyCorrelated,1000,2512405,2599076,507
01WeaklyCorrelated,2000,4859702,5017969,995
02StronglyCorrelated,50,115632,149632,34
02StronglyCorrelated,100,236912,302912,66
02StronglyCorrelated,200,475213,603213,128
02StronglyCorrelated,500,1224322,1523322,299
02StronglyCorrelated,1000,2491042,3050042,559
02StronglyCorrelated,2000,4962167,6047167,1085
03InverseStronglyCorrelated,50,164699,147699,17
03InverseStronglyCorrelated,100,298681,263681,35
03InverseStronglyCorrelated,200,613522,541522,72
03InverseStronglyCorrelated,500,1498940,1294940,204
03InverseStronglyCorrelated,1000,2879146,2454146,425
03InverseStronglyCorrelated,2000,6025594,5143594,882
04AlmostStronglyCorrelated,50,123159,156314,33
04AlmostStronglyCorrelated,100,244003,310841,67
04AlmostStronglyCorrelated,200,502925,632320,129
04AlmostStronglyCorrelated,500,1231879,1532726,301
04AlmostStronglyCorrelated,1000,2409858,2979574,570
04AlmostStronglyCorrelated,2000,4925873,6020096,1094
05SubsetSum,50,108240,108240,23
05SubsetSum,100,233898,233898,48
05SubsetSum,200,502063,502063,89
05SubsetSum,500,1209964,1209964,250
05SubsetSum,1000,2418676,2418676,505
05SubsetSum,2000,5004504,5004504,973
06UncorrelatedWithSimilarWeights,50,2401236,17301,24
06UncorrelatedWithSimilarWeights,100,4902421,35413,49
06UncorrelatedWithSimilarWeights,200,9905186,69654,99
06UncorrelatedWithSimilarWeights,500,24711822,155074,247
06UncorrelatedWithSimilarWeights,1000,49524667,296781,495
06UncorrelatedWithSimilarWeights,2000,99049653,552641,990
07SpannerUncorrelated,50,62949,97860,34
07SpannerUncorrelated,100,117420,235228,65
07SpannerUncorrelated,200,10078,602854,138
07SpannerUncorrelated,500,433516,1105832,284
07SpannerUncorrelated,1000,1910220,777345,456
07SpannerUncorrelated,2000,2699199,1834284,1101
08SpannerWeaklyCorrelated,50,82271,206954,28
08SpannerWeaklyCorrelated,100,100239,375547,72
08SpannerWeaklyCorrelated,200,201577,517325,105
08SpannerWeaklyCorrelated,500,791623,1725202,262
08SpannerWeaklyCorrelated,1000,1048008,2356812,515
08SpannerWeaklyCorrelated,2000,822560,4681384,1014
09SpannerStronglyCorrelated,50,89319,260319,30
09SpannerStronglyCorrelated,100,101184,395184,58
09SpannerStronglyCorrelated,200,394142,953142,102
09SpannerStronglyCorrelated,500,587340,1964340,257
09SpannerStronglyCorrelated,1000,1059466,4231466,583
09SpannerStronglyCorrelated,2000,1260425,7409425,1091
10MultipleStronglyCorrelated,50,119440,192440,33
10MultipleStronglyCorrelated,100,243393,399393,70
10MultipleStronglyCorrelated,200,477625,751625,125
10MultipleStronglyCorrelated,500,1200844,1832844,291
10MultipleStronglyCorrelated,1000,2502644,3761644,572
10MultipleStronglyCorrelated,2000,4878728,7259728,1094
11ProfitCeiling,50,116584,116562,22
11ProfitCeiling,100,243431,243399,45
11ProfitCeiling,200,497715,497631,93
11ProfitCeiling,500,1249677,1249446,241
11ProfitCeiling,1000,2394000,2393553,468
11ProfitCeiling,2000,4936240,4935327,963
12Circle,50,129609,8640159,25
12Circle,100,254769,16983726,47
12Circle,200,513049,34201506,98
12Circle,500,1230885,82054784,227
12Circle,1000,2443749,162908218,476
12Circle,2000,4770600,318023632,940
