group,n,weight,value,item
00Uncorrelated,50,130491,179702,30
00Uncorrelated,100,239987,336484,61
00Uncorrelated,200,506172,719817,116
00Uncorrelated,500,1263000,1643058,276
00Uncorrelated,1000,2495109,2969864,538
00Uncorrelated,2000,4938073,5597142,1052
01WeaklyCorrelated,50,131767,144738,25
01WeaklyCorrelated,100,247645,262059,50
01WeaklyCorrelated,200,491353,525796,98
01WeaklyCorrelated,500,1269346,1325424,254
01WeaklyCorrelated,1000,2511807,2578057,487
01WeaklyCorrelated,2000,4859447,4976545,984
02StronglyCorrelated,50,115774,148774,33
02StronglyCorrelated,100,237195,300195,63
02StronglyCorrelated,200,475199,592199,117
02StronglyCorrelated,500,1224366,1508366,284
02StronglyCorrelated,1000,2491099,3037099,546
02StronglyCorrelated,2000,4962156,6014156,1052
03InverseStronglyCorrelated,50,164311,146311,18
03InverseStronglyCorrelated,100,299491,259491,40
03InverseStronglyCorrelated,200,613561,533561,80
03InverseStronglyCorrelated,500,1499547,1284547,215
03InverseStronglyCorrelated,1000,2880119,2451119,429
03InverseStronglyCorrelated,2000,6024777,5117777,907
04AlmostStronglyCorrelated,50,123263,155252,32
04AlmostStronglyCorrelated,100,243915,304772,61
04AlmostStronglyCorrelated,200,502827,628050,125
04AlmostStronglyCorrelated,500,1232290,1517340,285
04AlmostStronglyCorrelated,1000,2410249,2956063,546
04AlmostStronglyCorrelated,2000,4925888,5988701,1063
05SubsetSum,50,108240,108240,23
05SubsetSum,100,233895,233895,44
05SubsetSum,200,502063,502063,93
05SubsetSum,500,1209964,1209964,249
05SubsetSum,1000,2418676,2418676,491
05SubsetSum,2000,5004504,5004504,980
06UncorrelatedWithSimilarWeights,50,2401258,17023,24
06UncorrelatedWithSimilarWeights,100,4902458,33541,49
06UncorrelatedWithSimilarWeights,200,9905108,64655,99
06UncorrelatedWithSimilarWeights,500,24712240,149788,247
06UncorrelatedWithSimilarWeights,1000,49525528,279611,495
06UncorrelatedWithSimilarWeights,2000,99048153,542488,990
07SpannerUncorrelated,50,62949,97860,34
07SpannerUncorrelated,100,117032,233544,69
07SpannerUncorrelated,200,10098,581415,128
07SpannerUncorrelated,500,433587,1071447,264
07SpannerUncorrelated,1000,1910416,759712,456
07SpannerUncorrelated,2000,2695710,1772118,1088
08SpannerWeaklyCorrelated,50,82056,204624,28
08SpannerWeaklyCorrelated,100,99422,366348,65
08SpannerWeaklyCorrelated,200,202249,478547,100
08SpannerWeaklyCorrelated,500,791853,1671882,263
08SpannerWeaklyCorrelated,1000,1047821,2271523,503
08SpannerWeaklyCorrelated,2000,822536,4637732,988
09SpannerStronglyCorrelated,50,89147,252147,29
09SpannerStronglyCorrelated,100,101156,388156,54
09SpannerStronglyCorrelated,200,394199,941199,105
09SpannerStronglyCorrelated,500,587280,1955280,251
09SpannerStronglyCorrelated,1000,1059609,4064609,559
09SpannerStronglyCorrelated,2000,1260321,7366321,1102
10MultipleStronglyCorrelated,50,120692,189692,31
10MultipleStronglyCorrelated,100,243264,388264,65
10MultipleStronglyCorrelated,200,477466,744466,121
10MultipleStronglyCorrelated,500,1201181,1822181,282
10MultipleStronglyCorrelated,1000,2501147,3704147,549
10MultipleStronglyCorrelated,2000,4878579,7245579,1079
11ProfitCeiling,50,116587,116562,23
11ProfitCeiling,100,243423,243381,47
11ProfitCeiling,200,497717,497628,93
11ProfitCeiling,500,1249675,1249440,247
11ProfitCeiling,1000,2393998,2393526,476
11ProfitCeiling,2000,4936244,4935306,956
12Circle,50,129609,8640156,27
12Circle,100,254769,16983726,48
12Circle,200,513048,34201438,103
12Circle,500,1230885,82054781,240
12Circle,1000,2443749,162908218,479
12Circle,2000,4770600,318023605,974
